,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_345,NA,4,NA,12,2,3,NA,NA,3,NA,2,2
cell_346,NA,4,2,0,2,3,NA,0,3,3,NA,2
cell_347,5,4,NA,0,2,3,29,0,3,0,NA,2
cell_348,5,NA,NA,2,NA,3,29,0,NA,0,2,NA
cell_349,NA,NA,2,0,2,3,NA,NA,3,0,2,2
cell_350,NA,NA,2,2,NA,3,29,0,3,0,NA,2
cell_351,NA,NA,2,5,2,3,29,0,3,0,2,NA
cell_352,2,NA,2,0,2,3,29,0,3,NA,NA,2
cell_353,14,5,2,2,2,3,0,6,3,NA,2,NA
cell_354,14,5,NA,2,2,NA,0,NA,3,NA,NA,2
cell_355,4,NA,2,2,2,3,2,NA,3,0,2,NA
cell_356,5,5,2,2,2,NA,NA,6,3,0,2,2
cell_357,3,5,NA,2,2,3,2,NA,NA,NA,2,2
cell_358,3,5,NA,2,2,NA,NA,NA,3,0,NA,2
cell_359,5,5,2,2,2,3,2,NA,3,0,2,2
cell_360,0,NA,NA,2,NA,3,2,0,3,NA,2,NA
cell_361,NA,5,2,NA,2,3,0,NA,3,NA,2,2
cell_362,0,5,2,NA,2,3,2,NA,NA,2,NA,2
cell_363,3,5,2,2,2,3,0,0,NA,2,NA,2
cell_364,NA,5,2,NA,2,NA,NA,0,NA,NA,2,2
cell_365,NA,5,NA,2,2,NA,15,0,3,5,NA,NA
cell_366,0,5,2,2,2,NA,15,NA,NA,5,NA,2
cell_367,0,5,2,2,2,NA,0,0,3,NA,NA,2
cell_368,NA,NA,NA,NA,NA,3,2,NA,3,5,2,2
cell_369,0,NA,NA,2,2,NA,NA,2,3,4,NA,2
cell_370,2,NA,2,NA,NA,NA,2,2,3,4,2,NA
cell_371,NA,2,2,NA,2,3,2,2,NA,6,2,2
cell_372,0,2,NA,2,2,3,NA,2,NA,0,2,2
cell_373,0,9,2,2,NA,3,2,2,NA,0,2,2
cell_374,NA,9,2,2,2,NA,NA,NA,NA,2,2,2
cell_375,NA,0,2,2,2,3,2,2,NA,4,2,2
cell_376,NA,0,2,2,2,3,2,NA,3,4,NA,NA
cell_377,2,NA,2,NA,NA,NA,8,2,NA,0,2,2
cell_378,2,2,NA,NA,2,NA,8,NA,3,0,2,NA
cell_379,2,NA,2,2,2,0,NA,2,3,2,2,2
cell_380,2,2,2,2,2,4,8,2,3,NA,2,2
cell_381,2,2,NA,NA,2,NA,27,NA,3,NA,NA,2
cell_382,NA,2,2,2,NA,2,0,2,NA,0,2,2
cell_383,2,2,2,2,2,2,0,NA,3,0,2,NA
cell_384,2,2,2,2,2,2,8,2,NA,0,2,NA
cell_385,NA,NA,2,0,2,2,0,NA,3,8,NA,NA
cell_386,5,0,2,2,2,2,0,3,3,8,2,2
cell_387,5,2,NA,0,NA,2,0,3,3,8,2,2
cell_388,NA,NA,NA,2,2,2,0,NA,NA,8,2,2
cell_389,NA,6,2,2,2,2,NA,NA,NA,8,2,NA
cell_390,5,6,2,2,NA,NA,2,3,NA,8,2,NA
cell_391,5,6,2,2,2,2,NA,3,3,8,NA,2
cell_392,NA,6,2,0,2,2,NA,NA,3,8,NA,2
cell_393,5,6,2,NA,2,0,0,NA,3,8,NA,2
cell_394,NA,NA,2,2,NA,2,0,3,NA,8,2,NA
cell_395,5,0,2,0,NA,9,2,3,3,8,NA,2
cell_396,NA,0,2,0,2,9,0,3,3,8,2,2
cell_397,5,NA,2,0,NA,0,NA,3,3,8,NA,NA
cell_398,5,2,2,0,NA,0,0,NA,3,8,NA,2
cell_399,5,0,2,0,2,0,0,NA,3,8,2,2
cell_400,5,0,NA,5,2,0,3,3,3,NA,2,2
cell_401,5,2,2,0,2,NA,0,3,3,8,2,2
cell_402,5,2,2,0,2,NA,NA,3,3,NA,2,2
cell_403,5,NA,NA,2,2,NA,NA,3,NA,NA,NA,2
cell_404,NA,2,2,2,NA,NA,0,3,3,NA,2,NA
cell_405,5,2,2,0,2,NA,0,3,3,8,2,2
cell_406,5,NA,NA,0,2,0,0,NA,NA,NA,2,2
cell_407,5,2,NA,0,2,0,NA,NA,NA,8,NA,2
cell_408,5,NA,2,0,2,NA,NA,3,NA,8,2,2
cell_409,5,0,2,0,NA,0,9,3,3,8,2,2
cell_410,5,0,NA,0,2,5,2,3,NA,NA,2,2
cell_411,5,0,2,3,2,7,NA,3,3,8,2,NA
cell_412,5,NA,NA,3,2,NA,0,3,3,8,NA,NA
cell_413,5,2,2,2,2,NA,0,3,3,NA,2,NA
cell_414,5,2,2,2,NA,0,NA,3,NA,8,2,2
cell_415,5,2,NA,2,2,2,0,NA,3,8,2,NA
cell_416,5,2,2,2,2,2,0,3,3,NA,NA,NA
cell_417,4,NA,2,NA,2,0,NA,NA,3,NA,2,2
cell_418,4,NA,2,NA,2,5,13,3,3,NA,NA,NA
cell_419,4,0,NA,4,2,0,0,3,NA,8,NA,2
cell_420,4,3,NA,NA,2,0,NA,NA,NA,8,2,2
cell_421,NA,NA,NA,4,NA,0,0,3,3,8,NA,2
