cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_330	2	-	2	4	2	2	3	3	42	3	5	3
cell_331	2	2	2	4	2	-	3	3	42	3	-	3
cell_332	2	2	2	-	2	0	-	3	42	3	5	3
cell_333	2	2	2	4	2	0	-	3	42	-	5	-
cell_334	2	2	2	-	2	2	3	-	42	3	5	3
cell_335	-	-	2	4	2	-	3	-	42	-	5	3
cell_336	2	2	2	4	2	3	3	-	42	-	5	3
cell_337	3	2	2	4	2	4	-	3	-	3	-	-
cell_338	3	-	-	4	2	4	3	-	42	3	5	3
cell_339	-	2	2	4	2	4	3	3	42	3	5	-
cell_340	3	2	2	4	2	4	3	3	42	3	5	3
cell_341	3	-	-	4	-	0	-	3	42	3	5	3
cell_342	3	2	2	4	2	0	3	3	42	3	5	3
cell_343	3	-	-	4	2	0	3	3	42	-	-	3
cell_344	3	2	2	4	2	0	3	3	42	3	-	3
cell_345	3	-	2	4	2	-	3	3	42	3	5	3
cell_346	-	2	2	-	2	-	-	3	42	3	-	3
cell_347	3	2	2	4	2	-	3	-	-	3	5	3
cell_348	3	2	2	-	2	8	3	-	-	3	5	-
cell_349	3	2	2	4	2	2	3	3	42	3	5	3
cell_350	3	2	2	4	2	3	3	-	-	3	5	3
cell_351	-	2	-	4	2	2	3	3	42	3	-	3
cell_352	-	2	2	4	2	2	3	-	42	3	5	3
cell_353	0	2	2	4	-	11	2	3	42	-	-	3
cell_354	0	2	2	-	-	-	-	3	-	3	5	3
cell_355	2	-	2	4	-	11	2	-	-	3	5	3
cell_356	2	2	2	4	2	-	2	3	42	3	5	3
cell_357	-	2	2	4	2	11	2	3	-	3	5	3
cell_358	0	2	2	-	2	11	2	3	42	3	5	3
cell_359	-	2	2	-	-	11	-	3	42	3	5	3
cell_360	2	2	2	4	2	11	2	3	42	3	5	-
cell_361	0	2	2	4	-	11	2	3	42	3	5	3
cell_362	-	2	2	4	2	11	-	-	42	-	5	3
cell_363	0	2	-	4	-	-	-	-	-	3	5	3
cell_364	2	2	2	4	-	11	2	3	42	3	5	3
cell_365	0	2	2	4	2	11	2	-	42	3	5	-
cell_366	0	2	2	4	2	11	2	3	-	-	-	3
cell_367	0	2	-	4	2	11	2	3	42	3	5	3
cell_368	2	2	2	4	2	-	2	3	42	3	5	3
cell_369	2	2	2	4	2	0	0	-	42	3	5	3
cell_370	2	2	2	-	-	0	0	3	-	-	5	3
cell_371	2	2	2	4	-	0	0	-	42	3	5	3
cell_372	2	2	2	4	2	3	0	3	-	-	5	3
cell_373	2	2	-	4	2	0	0	3	42	3	5	-
cell_374	2	2	2	4	2	0	0	3	42	3	-	3
cell_375	2	2	2	4	2	0	10	3	42	-	-	-
cell_376	2	2	2	-	2	0	10	3	42	3	5	3
cell_377	2	-	2	-	2	0	0	3	42	-	-	3
cell_378	2	2	-	4	-	-	-	3	42	3	5	3
cell_379	2	-	2	-	2	0	0	3	42	3	5	3
cell_380	-	2	-	-	2	5	0	3	-	-	5	3
cell_381	2	2	2	4	2	-	3	3	42	3	-	-
cell_382	2	2	2	4	-	0	3	3	42	3	5	3
cell_383	2	2	-	4	2	0	-	-	42	3	5	3
cell_384	2	2	2	4	2	-	-	-	42	3	5	3
cell_385	2	2	0	4	0	13	7	3	2	3	5	-
cell_386	-	2	0	4	2	-	7	-	2	3	-	3
cell_387	-	2	0	4	-	-	-	-	2	3	5	-
cell_388	0	2	0	-	13	13	7	-	2	-	5	3
cell_389	-	2	2	-	0	-	7	3	-	-	5	3
cell_390	0	2	2	5	0	13	7	-	5	3	5	3
cell_391	-	2	10	5	5	13	-	3	0	3	5	3
cell_392	-	2	0	5	0	13	7	3	0	3	5	3
cell_393	-	2	0	-	0	13	7	3	5	3	5	3
cell_394	0	2	-	0	-	13	7	3	5	-	5	3
cell_395	-	2	0	0	0	13	7	3	0	3	5	3
cell_396	3	2	0	0	0	-	7	3	0	3	-	-
cell_397	2	-	3	-	9	13	7	3	-	-	5	3
cell_398	0	2	3	3	9	-	7	3	0	3	-	-
cell_399	0	2	3	0	9	13	7	3	-	3	-	3
cell_400	2	2	3	0	9	-	7	3	2	3	-	3
cell_401	3	2	-	0	-	-	7	3	0	3	5	-
