cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_438	4	5	2	2	-	-	-	-	-	-	-	2
cell_439	4	5	2	-	-	-	-	-	-	-	-	2
cell_440	4	-	-	2	-	-	-	-	-	-	-	-
cell_441	4	5	2	2	-	-	-	-	-	-	-	2
cell_442	4	-	-	2	-	-	-	-	-	-	-	2
cell_443	4	5	-	2	-	-	-	-	-	-	-	2
cell_444	4	-	2	-	-	-	-	-	-	-	-	2
cell_445	-	5	-	2	-	-	-	-	-	-	-	2
cell_446	4	-	-	2	-	-	-	-	-	-	-	2
cell_447	-	5	-	2	-	-	-	-	-	-	-	2
cell_448	4	5	-	2	-	-	-	-	-	-	-	2
cell_449	3	0	-	2	-	-	-	-	-	-	-	12
cell_450	3	3	2	2	-	-	-	-	-	-	-	12
cell_451	2	3	2	2	-	-	-	-	-	-	-	0
cell_452	2	3	2	-	-	-	-	-	-	-	-	-
cell_453	2	0	2	2	-	-	-	-	-	-	-	3
cell_454	2	-	2	-	-	-	-	-	-	-	-	-
cell_455	0	0	2	2	-	-	-	-	-	-	-	5
cell_456	0	0	2	2	-	-	-	-	-	-	-	-
cell_457	2	2	-	2	-	-	-	-	-	-	-	0
cell_458	2	2	2	2	-	-	-	-	-	-	-	0
cell_459	2	-	0	-	-	-	-	-	-	-	-	0
cell_460	2	2	0	2	-	-	-	-	-	-	-	0
cell_461	0	2	0	2	-	-	-	-	-	-	-	0
cell_462	2	-	2	2	-	-	-	-	-	-	-	3
cell_463	2	-	0	2	-	-	-	-	-	-	-	0
cell_464	2	2	-	-	-	-	-	-	-	-	-	0
cell_465	2	2	2	2	-	-	-	-	-	-	-	-
cell_466	2	2	2	-	-	-	-	-	-	-	-	4
cell_467	2	2	2	2	-	-	-	-	-	-	-	0
cell_468	2	2	2	2	-	-	-	-	-	-	-	0
cell_469	-	-	2	2	-	-	-	-	-	-	-	0
cell_470	2	11	2	-	-	-	-	-	-	-	-	0
cell_471	2	11	2	-	-	-	-	-	-	-	-	0
cell_472	2	-	2	-	-	-	-	-	-	-	-	-
cell_473	-	0	2	-	-	-	-	-	-	-	-	0
cell_474	2	0	2	2	-	-	-	-	-	-	-	-
