,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_405,0,0,0,0,2,2,0,0,0,0,2,0
cell_406,0,0,0,0,2,2,0,0,0,0,2,0
cell_407,0,0,0,0,2,2,0,0,0,0,2,0
cell_408,0,0,0,0,2,2,0,0,0,0,2,0
cell_409,0,0,2,0,2,0,0,0,0,0,2,0
cell_410,0,0,0,0,2,0,0,0,0,0,2,4
cell_411,0,0,8,2,2,0,0,0,0,0,2,0
cell_412,0,0,8,2,2,0,0,0,0,0,2,0
cell_413,5,0,0,0,2,0,0,0,8,0,2,5
cell_414,5,0,0,0,2,0,2,0,8,0,2,0
cell_415,5,0,0,0,2,0,0,0,0,0,2,0
cell_416,5,0,0,4,2,0,0,0,0,0,2,0
cell_417,2,2,0,0,2,0,3,3,0,0,0,3
cell_418,2,0,0,0,2,0,3,0,0,0,0,3
cell_419,2,0,0,0,2,0,3,0,0,0,0,3
cell_420,2,0,0,0,2,0,3,0,0,0,0,3
cell_421,2,0,0,5,2,0,3,0,0,0,0,3
cell_422,2,0,0,5,2,0,3,0,0,0,0,3
cell_423,2,0,0,5,2,8,3,0,0,0,0,3
cell_424,2,0,0,5,2,8,3,0,0,0,0,3
cell_425,2,0,4,0,2,0,3,0,0,0,0,3
cell_426,2,0,4,0,2,0,3,0,0,0,0,3
cell_427,2,0,4,0,2,2,3,0,0,0,0,3
cell_428,2,0,4,0,2,2,3,0,0,0,0,3
cell_429,2,0,0,0,2,0,3,0,0,0,0,3
cell_430,2,0,0,0,2,0,3,0,0,0,0,3
cell_431,2,0,0,3,2,0,3,0,0,0,0,3
cell_432,2,0,0,3,2,0,3,0,0,0,0,3
cell_433,2,0,0,3,2,0,3,0,0,7,0,2
cell_434,2,0,0,3,2,0,3,4,0,7,0,2
cell_435,2,0,0,3,2,0,3,0,0,0,0,2
cell_436,2,0,0,3,2,0,3,0,0,0,2,2
cell_437,2,0,0,3,2,0,3,0,0,0,0,0
cell_438,2,0,0,3,2,0,3,0,0,2,0,0
cell_439,2,0,5,3,2,0,3,2,0,0,0,0
cell_440,2,0,0,3,2,0,3,2,0,0,0,0
cell_441,2,0,4,3,2,0,3,0,0,2,2,0
cell_442,2,0,0,3,2,0,3,0,0,2,2,0
cell_443,2,0,0,3,2,0,3,0,0,2,2,0
cell_444,2,0,0,3,2,0,3,0,0,2,2,0
cell_445,2,0,0,3,2,0,3,0,0,2,2,0
cell_446,2,0,0,3,2,0,3,0,0,2,2,0
cell_447,2,0,0,3,2,0,3,0,0,2,2,3
cell_448,2,0,0,3,2,0,3,0,0,2,2,3
cell_449,0,0,0,2,4,0,10,0,0,2,0,0
cell_450,0,2,0,2,4,0,0,2,0,2,0,0
cell_451,0,0,0,2,4,0,0,0,0,2,0,0
cell_452,0,0,0,2,4,0,0,0,0,2,0,0
cell_453,9,0,0,2,4,0,0,0,0,3,0,0
cell_454,0,0,0,2,4,0,0,0,0,3,0,0
cell_455,0,0,0,2,4,0,0,0,0,3,0,0
cell_456,0,0,0,2,4,0,0,0,0,3,0,0
cell_457,0,0,0,0,4,0,0,0,0,0,3,0
cell_458,0,0,0,0,4,5,0,0,0,0,3,0
cell_459,0,0,0,0,4,0,0,0,0,0,3,0
cell_460,0,0,0,0,4,0,0,0,0,0,3,0
cell_461,0,0,0,0,4,0,0,0,4,3,5,0
cell_462,0,0,0,0,4,0,0,0,0,3,5,0
cell_463,0,0,0,2,4,2,0,2,0,3,0,0
cell_464,0,0,0,0,4,2,0,2,0,3,0,0
cell_465,2,3,0,0,4,2,0,0,0,0,0,0
cell_466,2,0,0,0,4,2,0,0,0,0,0,0
cell_467,2,0,0,0,4,2,0,0,0,0,0,5
cell_468,2,0,0,0,4,2,0,0,0,0,0,5
cell_469,2,0,0,2,4,2,0,0,0,0,0,0
cell_470,2,0,0,2,4,2,0,0,0,0,0,0
cell_471,2,0,0,2,4,2,0,10,0,0,0,2
cell_472,2,0,0,2,4,2,0,0,0,0,0,2
cell_473,2,0,0,2,4,0,0,2,0,0,0,0
cell_474,2,0,0,2,4,0,0,2,2,0,0,0
cell_475,2,2,0,0,4,0,0,2,0,0,0,0
